epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4326,2.36799,6.89498,0.00416,0.00024,0.01724,0.00013,2e-05,2.11918,5.96983,0.00456,8.335e-05,8.335e-05,8.335e-05
2,39.3074,2.27636,5.79718,0.0039,0.82308,0.16379,0.20377,0.11124,1.87581,3.26787,0.00404,0.000181555,0.000181555,0.000181555
3,49.2994,1.99147,3.95275,0.00349,0.53432,0.4212,0.41448,0.18811,2.19952,2.23666,0.00522,0.000277779,0.000277779,0.000277779
4,59.9717,1.97742,2.94577,0.0033,0.53539,0.6931,0.57695,0.3109,1.8826,1.95659,0.00399,0.000372023,0.000372023,0.000372023
5,71.8964,1.89313,2.3288,0.00332,0.7119,0.72069,0.74837,0.36586,1.94682,1.19851,0.00424,0.000464286,0.000464286,0.000464286
6,82.1926,1.88153,1.85626,0.00321,0.85006,0.70432,0.76491,0.36739,1.96306,1.15804,0.0045,0.000554569,0.000554569,0.000554569
7,94.5699,1.83366,1.46535,0.00309,0.80287,0.83013,0.85859,0.39269,1.87256,1.08637,0.00413,0.000642872,0.000642872,0.000642872
8,106.872,2.05137,1.4727,0.00364,0.82769,0.62069,0.81243,0.41419,1.84071,0.9037,0.00425,0.000729194,0.000729194,0.000729194
9,119.195,1.87663,1.23097,0.00306,0.83189,0.79483,0.85549,0.43866,1.81491,0.93274,0.00402,0.000813536,0.000813536,0.000813536
10,131.776,1.88643,1.14817,0.00306,0.87078,0.77931,0.832,0.44455,1.82046,1.00833,0.00386,0.000895897,0.000895897,0.000895897
11,143.756,2.04386,1.19644,0.00331,0.78348,0.83202,0.86978,0.40026,1.95615,0.98467,0.00445,0.000976279,0.000976279,0.000976279
12,152.049,1.90749,0.97805,0.00303,0.72028,0.73111,0.83809,0.4027,1.97866,2.09248,0.00451,0.00105468,0.00105468,0.00105468
13,160.172,1.84682,1.02232,0.00313,0.79886,0.79404,0.81076,0.38901,1.98279,1.31116,0.00442,0.0011311,0.0011311,0.0011311
14,168.133,1.9626,1.0581,0.00326,0.79174,0.82621,0.88817,0.45483,1.82647,1.68685,0.00418,0.00120554,0.00120554,0.00120554
15,180.008,1.77486,0.85155,0.00306,0.78851,0.74377,0.90314,0.43365,1.83797,1.61194,0.00435,0.001278,0.001278,0.001278
16,190.64,1.86151,0.98902,0.003,0.78696,0.75316,0.83414,0.45736,1.86467,1.55441,0.00425,0.00134848,0.00134848,0.00134848
17,203.288,1.84778,0.91514,0.00286,0.79164,0.63147,0.7606,0.39184,1.91399,3.45432,0.00437,0.00140295,0.00140295,0.00140295
18,214.439,1.87146,0.97082,0.00331,0.85278,0.85439,0.8532,0.47177,1.84469,0.91511,0.00443,0.00138644,0.00138644,0.00138644
19,232,1.85211,0.89609,0.00287,0.77812,0.78458,0.82673,0.45254,1.94656,1.3537,0.00477,0.00136994,0.00136994,0.00136994
20,249.72,1.68451,0.7667,0.00266,0.86355,0.68621,0.78071,0.44041,1.97639,1.02984,0.00481,0.00135344,0.00135344,0.00135344
21,267.203,1.81141,0.90442,0.0026,0.93007,0.61711,0.77255,0.4273,1.95647,0.86452,0.00458,0.00133693,0.00133693,0.00133693
22,275.841,1.68372,0.74922,0.0026,0.75655,0.79369,0.83719,0.4311,1.9349,1.2922,0.00461,0.00132043,0.00132043,0.00132043
23,283.799,1.66584,0.75511,0.00262,0.9128,0.69409,0.80369,0.43155,1.88031,1.84696,0.00447,0.00130393,0.00130393,0.00130393
24,296.754,1.90287,0.73978,0.00341,0.87723,0.86379,0.88428,0.42586,1.93558,0.75015,0.00452,0.00128742,0.00128742,0.00128742
25,304.606,1.72991,0.791,0.00278,0.94142,0.80007,0.87591,0.42095,1.97194,0.85079,0.00475,0.00127092,0.00127092,0.00127092
26,313.051,1.71192,0.6691,0.00271,0.82453,0.82103,0.85473,0.38631,1.98969,1.30356,0.00489,0.00125442,0.00125442,0.00125442
27,326.289,1.78701,0.74886,0.00288,0.80018,0.83103,0.81622,0.4188,1.92497,1.18875,0.00448,0.00123791,0.00123791,0.00123791
28,333.672,1.80825,0.67643,0.0031,0.68839,0.68793,0.66255,0.28859,2.20296,0.96811,0.00504,0.00122141,0.00122141,0.00122141
29,350.97,1.86573,0.72826,0.00309,0.93607,0.85004,0.92911,0.40671,1.83548,0.85876,0.0042,0.00120491,0.00120491,0.00120491
30,358.182,1.84518,0.7244,0.00298,0.92416,0.77392,0.87381,0.36085,1.98786,1.01119,0.00443,0.0011884,0.0011884,0.0011884
31,375.604,1.74004,0.65818,0.003,0.86587,0.8053,0.87153,0.36429,2.05784,1.03937,0.00462,0.0011719,0.0011719,0.0011719
32,383.315,1.61922,0.67461,0.00258,0.90883,0.84655,0.90228,0.38805,1.93095,0.94077,0.00473,0.0011554,0.0011554,0.0011554
33,391.898,1.68812,0.64336,0.00256,0.88851,0.81521,0.91102,0.36269,1.9654,0.83299,0.00481,0.00113889,0.00113889,0.00113889
34,399.814,1.73323,0.66997,0.00274,0.77125,0.81983,0.79408,0.40314,1.97553,0.79572,0.0047,0.00112239,0.00112239,0.00112239
35,408.083,1.76109,0.65274,0.0028,0.84227,0.90649,0.90023,0.40024,1.95994,0.682,0.00471,0.00110589,0.00110589,0.00110589
