epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2112,3.53754,12.7977,0.00485,0,0,0,0,3.1082,11.0934,0.0057,2e-05,2e-05,2e-05
2,25.6588,3.44868,12.6015,0.00493,0,0,0,0,3.07225,10.869,0.0056,5.9406e-05,5.9406e-05,5.9406e-05
3,27.9805,3.67573,14.006,0.00481,0,0,0,0,3.00076,10.6495,0.00552,9.802e-05,9.802e-05,9.802e-05
4,30.4433,3.49923,13.639,0.00518,0,0,0,0,3.1985,9.26531,0.00646,0.000135842,0.000135842,0.000135842
5,33.676,4.37425,15.0629,0.00865,0,0,0,0,3.28849,9.43238,0.00686,0.000172872,0.000172872,0.000172872
6,42.1617,4.06542,15.3679,0.00849,0,0,0,0,3.15506,7.74598,0.00724,0.00020911,0.00020911,0.00020911
7,48.3072,2.62756,9.66172,0.00416,0.00111,0.125,0.00064,0.00035,2.2734,5.83888,0.00456,0.000244556,0.000244556,0.000244556
8,51.633,2.60012,6.2733,0.00311,0.29111,0.0625,0.05539,0.02804,2.96401,5.35594,0.00546,0.00027921,0.00027921,0.00027921
9,54.5999,2.28265,4.68537,0.00246,0.1569,0.3125,0.14491,0.04897,2.64257,4.14866,0.00438,0.000313072,0.000313072,0.000313072
10,57.9438,2.19477,4.73741,0.00249,0.44326,0.75,0.56515,0.34855,1.44624,2.56702,0.00236,0.000346142,0.000346142,0.000346142
11,62.0544,2.03029,4.46247,0.00239,0.64458,0.75,0.72803,0.48009,1.34318,2.09974,0.00219,0.00037842,0.00037842,0.00037842
12,65.0019,2.15683,3.14367,0.00234,0.77922,0.66287,0.73576,0.46193,1.34289,2.15982,0.00212,0.000409906,0.000409906,0.000409906
13,67.7172,1.83631,3.69057,0.0021,0.84663,0.8125,0.84514,0.49405,1.61167,1.7301,0.00243,0.0004406,0.0004406,0.0004406
14,73.0016,1.83853,2.5532,0.00199,0.9794,0.875,0.95437,0.57901,1.47257,1.10838,0.00222,0.000470502,0.000470502,0.000470502
